danceability,loudness,speechiness,valence,tempo,time_signature,liked
0.23,-27.675,0.0412,0.101,134.839,5,0
0.829,-5.05,0.102,0.723,139.961,4,1
0.699,-6.9,0.231,0.577,170.103,4,1
0.883,-6.382,0.208,0.537,153.99,4,1
0.256,-8.631,0.103,0.0724,144.481,4,0
0.166,-19.494,0.052,0.143,176.616,3,0
0.839,-5.663,0.147,0.724,94.008,4,1
0.75,-7.112,0.261,0.538,131.001,4,1
0.452,-3.063,0.0831,0.566,164.032,4,1
0.722,-6.994,0.0585,0.582,89.86,4,1
0.671,-9.959,0.54,0.366,119.303,5,1
0.924,-3.645,0.188,0.381,121.063,4,1
0.72,-8.39,0.167,0.766,151.124,4,1
0.456,-16.055,0.0535,0.974,144.489,3,0
0.867,-7.908,0.237,0.193,101.052,4,1
0.571,-4.907,0.215,0.0468,94.992,4,0
0.373,-5.016,0.122,0.34,97.346,4,0
0.889,-6.366,0.0668,0.966,110.842,4,0
0.827,-4.623,0.112,0.586,137.043,4,1
0.697,-8.197,0.0302,0.98,125.941,4,0
0.843,-11.184,0.0595,0.931,121.112,4,0
0.832,-13.705,0.0487,0.89,119.825,4,0
0.45,-5.075,0.09,0.177,140.046,4,1
0.364,-33.09,0.0395,0.0674,101.226,4,0
0.826,-6.382,0.117,0.813,99.974,4,0
0.833,-5.708,0.29,0.705,154.062,4,1
0.567,-3.071,0.2,0.654,110.882,3,1
0.568,-7.654,0.069,0.328,139.959,4,1
0.338,-7.29,0.0865,0.449,99.046,4,0
0.783,-9.223,0.0486,0.831,108.966,4,0
0.778,-6.415,0.125,0.827,140.951,4,1
0.75,-8.706,0.157,0.561,139.98,4,1
0.816,-9.19,0.241,0.676,147.942,4,1
0.29,-4.679,0.0962,0.18,112.834,3,0
0.729,-10.104,0.444,0.422,155.999,4,0
0.677,-13.826,0.032,0.851,114.223,4,0
0.705,-2.588,0.0361,0.743,120.527,4,0
0.245,-8.992,0.0718,0.482,101.017,3,0
0.603,-3.777,0.0837,0.395,126.025,4,1
0.715,-7.714,0.1,0.136,103.037,4,0
0.8,-6.262,0.234,0.815,143.975,4,1
0.62,-11.893,0.0423,0.897,81.548,4,0
0.483,-3.598,0.0575,0.503,156.033,4,1
0.779,-7.834,0.0827,0.228,103.048,4,0
0.684,-9.906,0.0309,0.777,106.023,4,0
0.392,-23.399,0.0571,0.0417,71.286,4,0
0.499,-11.509,0.0448,0.616,90.664,4,0
0.247,-7.766,0.0772,0.318,142.891,4,0
0.65,-7.712,0.0514,0.113,76.503,4,1
0.379,-20.328,0.0408,0.0353,68.232,3,0
0.334,-30.908,0.0355,0.0964,60.171,4,0
0.357,-6.835,0.079,0.368,96.969,4,0
0.83,-7.446,0.079,0.252,97.989,4,1
0.138,-5.661,0.175,0.0718,94.443,1,0
0.648,-8.582,0.0806,0.863,100.437,4,0
0.266,-8.346,0.166,0.302,86.179,4,0
0.819,-7.76,0.0349,0.766,106.684,4,0
0.777,-7.706,0.0704,0.119,119.963,4,0
0.762,-7.951,0.306,0.519,151.329,4,1
0.651,-7.836,0.0583,0.758,157.738,4,0
0.794,-7.063,0.0498,0.308,112.019,4,0
0.363,-5.781,0.131,0.139,108.017,4,0
0.797,-9.28,0.0278,0.628,108.628,4,0
0.909,-5.357,0.0665,0.844,126.063,4,0
0.461,-8.507,0.0959,0.802,172.435,4,0
0.454,-6.289,0.0787,0.535,103.965,4,0
0.688,-7.007,0.0375,0.359,109.041,4,0
0.368,-36.759,0.035,0.085,69.363,3,0
0.798,-5.98,0.047,0.394,108.004,4,0
0.862,-11.63,0.0565,0.882,124.896,4,0
0.648,-9.716,0.171,0.407,103.025,4,0
0.184,-6.237,0.106,0.33,93.771,3,0
0.734,-9.773,0.0635,0.235,114.969,4,0
0.438,-21.686,0.0695,0.37,106.275,5,0
0.291,-5.138,0.153,0.257,79.792,4,0
0.13,-5.888,0.095,0.334,60.631,4,0
0.712,-15.485,0.0363,0.961,103.604,4,0
0.446,-5.036,0.0781,0.339,172.059,4,0
0.609,-7.557,0.0451,0.0761,120.914,4,0
0.225,-5.626,0.143,0.105,115.077,4,0
0.261,-27.528,0.0419,0.0382,75.296,4,0
0.814,-12.068,0.0619,0.933,109.394,4,0
0.463,-17.164,0.044,0.222,122.437,4,0
0.803,-6.764,0.0477,0.628,95.968,4,0
0.28,-19.802,0.0336,0.176,92.628,4,0
0.745,-9.482,0.0874,0.124,94.032,4,0
0.447,-10.634,0.0376,0.036,92.468,4,0
0.583,-10.033,0.0429,0.153,127.667,4,0
0.592,-9.965,0.0437,0.197,127.966,4,0
0.72,-9.211,0.0462,0.768,110.071,4,0
0.656,-8.757,0.0802,0.166,84.907,4,0
0.335,-27.4,0.041,0.0371,67.446,4,0
0.762,-7.585,0.0909,0.39,115.908,4,0
0.901,-2.762,0.274,0.805,142.948,4,1
0.191,-25.398,0.0578,0.0454,132.614,1,0
0.251,-7.282,0.118,0.275,99.338,4,0
0.267,-42.261,0.0531,0.267,71.428,4,0
0.78,-13.038,0.0625,0.969,126.009,4,0
0.263,-17.687,0.0408,0.12,71.462,4,0
0.798,-8.639,0.0313,0.965,128.553,4,0
